"Date","Price","Open","High","Low","Vol.","Change %"
"25/05/2021","2.0339","2.0440","2.0522","2.0239","52.84K","-0.36%"
"24/05/2021","2.0412","1.9918","2.0453","1.9861","48.18K","2.70%"
"21/05/2021","1.9876","1.9585","2.0018","1.9471","56.07K","1.23%"
"20/05/2021","1.9635","2.0048","2.0153","1.9544","53.48K","-2.07%"
"19/05/2021","2.0051","2.0466","2.0514","1.9718","48.13K","-2.40%"
"18/05/2021","2.0544","2.0592","2.0760","2.0178","44.64K","-0.20%"
"17/05/2021","2.0586","2.0355","2.0643","2.0283","33.20K","1.18%"
"14/05/2021","2.0345","1.9978","2.0383","1.9848","33.94K","1.78%"
"13/05/2021","1.9990","2.0642","2.0642","1.9809","50.13K","-3.21%"
"12/05/2021","2.0652","2.0425","2.0777","2.0301","55.64K","1.26%"
"11/05/2021","2.0396","2.0157","2.0444","1.9956","45.08K","1.16%"
"10/05/2021","2.0162","2.0566","2.0772","1.9960","55.03K","0.22%"
"07/05/2021","2.0118","1.9951","2.0160","1.9704","30.87K","1.05%"
"06/05/2021","1.9908","1.9938","2.0120","1.9815","17.86K","-0.63%"
"05/05/2021","2.0035","2.0164","2.0285","1.9899","30.59K","0.18%"
"04/05/2021","1.9999","1.9565","2.0147","1.9534","32.97K","2.36%"
"03/05/2021","1.9537","1.9260","1.9621","1.9100","15.87K","1.63%"
"30/04/2021","1.9224","1.9566","1.9618","1.9088","56.94K","-2.04%"
"29/04/2021","1.9625","1.9371","1.9756","1.9341","55.72K","1.18%"
"28/04/2021","1.9397","1.9125","1.9526","1.9017","58.56K","1.71%"
"27/04/2021","1.9071","1.8823","1.9156","1.8800","61.20K","1.40%"
"26/04/2021","1.8808","1.8750","1.8864","1.8344","61.52K","0.27%"
"23/04/2021","1.8757","1.8629","1.8851","1.8547","49.23K","0.69%"
"22/04/2021","1.8629","1.8504","1.8701","1.8397","54.71K","0.40%"
"21/04/2021","1.8555","1.8774","1.8790","1.8408","52.41K","-1.41%"
"20/04/2021","1.8820","1.8950","1.9174","1.8507","56.38K","-0.67%"
"19/04/2021","1.8947","1.8927","1.9047","1.8836","31.99K","-0.15%"
"16/04/2021","1.8975","1.8934","1.9109","1.8883","37.80K","-0.15%"
"15/04/2021","1.9004","1.8839","1.9009","1.8775","36.83K","0.44%"
"14/04/2021","1.8920","1.8256","1.8964","1.8249","39.51K","4.12%"
"13/04/2021","1.8171","1.8095","1.8255","1.8037","31.22K","0.37%"
"12/04/2021","1.8104","1.8096","1.8446","1.7902","33.25K","0.02%"
"09/04/2021","1.8100","1.8111","1.8151","1.7907","31.57K","-0.10%"
"08/04/2021","1.8118","1.8048","1.8145","1.7868","29.03K","0.14%"
"07/04/2021","1.8093","1.7929","1.8121","1.7642","33.19K","0.74%"
"06/04/2021","1.7960","1.7785","1.8277","1.7785","26.98K","1.19%"
"05/04/2021","1.7748","1.8328","1.8352","1.7516","22.72K","-3.25%"
"01/04/2021","1.8344","1.7779","1.8387","1.7716","25.21K","3.65%"
"31/03/2021","1.7698","1.7927","1.8086","1.7623","38.51K","-1.21%"
"30/03/2021","1.7914","1.8164","1.8272","1.7796","37.16K","-1.11%"
"29/03/2021","1.8115","1.8144","1.8281","1.7750","46.74K","0.01%"
"26/03/2021","1.8114","1.7486","1.8220","1.7473","51.36K","3.53%"
"25/03/2021","1.7496","1.8206","1.8222","1.7322","51.19K","-4.21%"
"24/03/2021","1.8265","1.7357","1.8308","1.7335","53.51K","4.36%"
"23/03/2021","1.7502","1.8241","1.8273","1.7315","53.40K","-4.38%"
"22/03/2021","1.8303","1.8256","1.8412","1.7965","50.10K","0.46%"
"19/03/2021","1.8220","1.7750","1.8321","1.7570","62.69K","2.02%"
"18/03/2021","1.7859","1.8990","1.9132","1.7459","56.99K","-6.34%"
